GeneID_Uniprot	a0173	a0231	a0144	b0200	c8405	c8505
Q93F41	2	2	0	2	2	2
Q93F40	1	1	0	1	1	1
Q93F39	1	1	0	1	1	1
Q93F38	1	1	0	1	1	1
Q93F37	1	1	0	1	1	1
Q93F36	1	1	0	0	1	1
Q93F35	1	1	0	1	1	1
Q93F34	1	1	0	1	1	1
Q93F33	1	1	0	1	1	1
Q93F32	1	1	1	1	1	1
Q7BGA1	1	1	0	1	1	1
Q93F31	1	1	0	1	1	1
Q93F30	1	1	0	1	1	1
Q7BGA0	1	1	0	1	1	1
Q93F29	1	1	0	1	1	1
Q93F28	1	1	0	1	1	1
Q7BG99	1	1	1	1	1	1
Q93F27	1	1	1	1	1	1
Q93F26	1	1	1	1	1	1
Q7BG98	1	1	1	1	1	1
Q7BG97	1	1	1	1	1	1
Q7BG96	1	1	1	1	1	1
Q93F24	1	2	0	1	2	2
Q93F23	2	2	2	2	2	2
Q93F22	1	1	0	2	1	1
Q7BG95	1	1	1	2	1	1
Q93F21	1	1	1	2	1	1
Q93F20	1	1	1	2	1	1
Q93F19	1	1	1	2	1	1
Q93F17	1	1	1	2	1	1
Q7BG94	1	1	1	1	1	1
Q7BG93	1	1	1	3	1	1
Q93F16	1	1	1	1	1	1
Q93F15	2	2	2	1	2	2
Q93F14	3	3	3	4	3	3
Q93F13	0	0	0	0	0	0
Q93F12	1	1	1	1	1	1
Q93F11	1	1	2	1	1	1
Q93F10	0	0	0	0	0	0
Q93F09	1	1	1	1	1	1
Q93F08	1	1	0	1	1	1
Q93F07	0	0	0	0	0	0
Q93F06	0	0	0	0	0	0
Q93F05	1	1	1	1	1	1
Q93F04	1	1	1	1	1	1
Q93F03	0	0	1	0	0	0
Q93F02	1	1	1	1	1	1
Q93F01	0	0	0	0	0	0
Q93F00	1	1	1	1	1	1
Q7BG92	1	1	0	1	1	1
Q93EZ8	1	1	4	1	1	1
Q93EZ7	1	1	3	1	1	1
Q93EZ6	1	1	3	1	1	1
Q93EZ5	1	1	0	1	1	1
Q93EZ4	1	1	2	1	1	1
Q93EZ3	0	0	0	0	0	0
Q93EZ2	1	1	0	2	1	1
Q93EZ1	0	0	0	0	0	0
